A,B,C,D
6.850514e-14,662366.75,24.331553,3.2390538e-11
6.850514e-14,662366.75,24.331553,3.2390538e-11
45.932816,30185.018,19951.639,1.05272275e-5
3.0314138,41802.164,20000.0,0.0
30.022562,191339.42,1822.0574,0.0
2.9466286,36653.844,19998.541,2.048239e-5
16.30302,55663.484,1505.4357,0.021131983
3.7759304,41556.594,19999.996,0.0
30.976856,740472.6,121.09581,10.276759
31.520102,860139.7,19.003,10.712898
4.6534493e-10,661354.0,234.9807,7.000364e-9
4.6546875e-10,668432.5,234.56262,7.0770465e-9
11.326738,34340.152,20000.0,5.0783017e-14
5.248967,41067.12,20000.0,2.7076323e-12
125.49217,1.0e6,7.4370823e-6,4.461001e-6
6.0486727,41857.6,20000.0,1.1304554e-8
4.866119,36110.367,19999.164,2.0179044e-5
12.794731,197649.84,19999.998,1.2825253e-11
8.845109,39899.676,20000.0,1.8323476e-13
1.2013475e-13,661384.5,103.56131,3.227203e-11
9.767116e-14,664956.1,1.3080218,9.077592e-10
2.7418122,255858.16,17973.49,0.17876928
4.134127,333710.88,20000.0,3.9822124e-5
